"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"b.alpha[1]",4.765,2.736,1.953,4.053,12.382,1,3039
"b.alpha[2]",3.59,0.668,2.572,3.486,5.275,1,644
"c.alpha[1]",0,0,0,0,0,NA,0
"c.alpha[2]",0,0,0,0,0,NA,0
"cor[1, 1]",1,0,1,1,1,NA,0
"cor[2, 1]",0.126,0.319,-0.486,0.126,0.744,1,538
"cor[3, 1]",-0.281,0.289,-0.776,-0.302,0.333,1,897
"cor[4, 1]",-0.163,0.336,-0.764,-0.175,0.5,1.01,988
"cor[1, 2]",0.126,0.319,-0.486,0.126,0.744,1,538
"cor[2, 2]",1,0,1,1,1,1,0
"cor[3, 2]",-0.656,0.249,-0.961,-0.716,-0.029,1,776
"cor[4, 2]",-0.531,0.283,-0.929,-0.583,0.136,1,983
"cor[1, 3]",-0.281,0.289,-0.776,-0.302,0.333,1,897
"cor[2, 3]",-0.656,0.249,-0.961,-0.716,-0.029,1,776
"cor[3, 3]",1,0,1,1,1,1,0
"cor[4, 3]",0.586,0.272,-0.076,0.641,0.944,1,1157
"cor[1, 4]",-0.163,0.336,-0.764,-0.175,0.5,1.01,988
"cor[2, 4]",-0.531,0.283,-0.929,-0.583,0.136,1,983
"cor[3, 4]",0.586,0.272,-0.076,0.641,0.944,1,1157
"cor[4, 4]",1,0,1,1,1,NA,0
"d.alpha[1]",0.35,0.034,0.283,0.349,0.418,1,2544
"d.alpha[2]",0.897,0.039,0.82,0.897,0.974,1,1865
"e.alpha[1]",6.377,0.797,4.792,6.383,7.949,1,6520
"e.alpha[2]",5.263,0.425,4.459,5.251,6.123,1.01,707
"e.diff",-1.114,0.906,-2.864,-1.122,0.702,1,2731
"f.alpha[1]",0,0.004,0,0,0,1.29,6180
"f.alpha[2]",0.755,0.203,0.359,0.756,1.163,1,562
"sigma",0.087,0.007,0.075,0.086,0.101,1,3641
"sigma.trial[1]",0.079,0.024,0.041,0.076,0.136,1,2193
"sigma.trial[2]",0.46,0.151,0.227,0.439,0.818,1,853
"sigma.trial[3]",0.898,0.281,0.422,0.873,1.533,1,1601
"sigma.trial[4]",1.082,0.542,0.243,1.001,2.372,1,1024
"w.alpha[1]",0.003,0.052,0,0,0,1.29,4594
"w.alpha[2]",1,0,1,1,1,NA,0
