Species,Antibiotic,Concentration,DMSO,Absorbance,Inhibition,Type
S. pneumoniae,Ampicillin,0.03,1,0.277,10.959,Fixed
S. pneumoniae,Ampicillin,0.06,1,0.228,20.548,Fixed
S. pneumoniae,Ampicillin,0.13,1,0.186,29.452,Fixed
S. pneumoniae,Ampicillin,0.25,1,0.031,58.904,Fixed
S. pneumoniae,Ampicillin,0.5,1,-0.009,97.945,Fixed
S. pneumoniae,Ampicillin,1,1,-0.013,101.37,Fixed
S. pneumoniae,Ampicillin,2,1,-0.018,102.74,Fixed
S. pneumoniae,Ampicillin,4,1,-0.022,102.74,Fixed
S. pneumoniae,Ampicillin,8,1,-0.004,102.74,Fixed
S. pneumoniae,Ampicillin,16,1,-0.028,103.425,Fixed
S. pneumoniae,Ampicillin,0.03,1,0.257,29.605,Fixed
S. pneumoniae,Ampicillin,0.06,1,0.215,32.237,Fixed
S. pneumoniae,Ampicillin,0.13,1,0.182,32.895,Fixed
S. pneumoniae,Ampicillin,0.25,1,0.017,67.763,Fixed
S. pneumoniae,Ampicillin,0.5,1,-0.008,92.105,Fixed
S. pneumoniae,Ampicillin,1,1,-0.013,94.737,Fixed
S. pneumoniae,Ampicillin,2,1,-0.016,93.421,Fixed
S. pneumoniae,Ampicillin,4,1,-0.026,95.066,Fixed
S. pneumoniae,Ampicillin,8,1,-0.025,92.105,Fixed
S. pneumoniae,Ampicillin,16,1,-0.034,92.105,Fixed
S. pneumoniae,Ampicillin,0.03,1,0.292,30.065,Fixed
S. pneumoniae,Ampicillin,0.06,1,0.24,30.719,Fixed
S. pneumoniae,Ampicillin,0.13,1,0.186,26.797,Fixed
S. pneumoniae,Ampicillin,0.25,1,0.044,62.745,Fixed
S. pneumoniae,Ampicillin,0.5,1,-0.008,91.503,Fixed
S. pneumoniae,Ampicillin,1,1,-0.014,91.83,Fixed
S. pneumoniae,Ampicillin,2,1,-0.019,92.81,Fixed
S. pneumoniae,Ampicillin,4,1,-0.021,92.81,Fixed
S. pneumoniae,Ampicillin,8,1,-0.016,93.464,Fixed
S. pneumoniae,Ampicillin,16,1,-0.021,89.542,Fixed
S. pneumoniae,Ampicillin,0.03,1,0.166,2.959,Fixed
S. pneumoniae,Ampicillin,0.06,1,0.156,15.976,Fixed
S. pneumoniae,Ampicillin,0.13,1,0.115,19.527,Fixed
S. pneumoniae,Ampicillin,0.25,1,0.015,57.988,Fixed
S. pneumoniae,Ampicillin,0.5,1,-0.004,91.716,Fixed
S. pneumoniae,Ampicillin,1,1,-0.007,89.941,Fixed
S. pneumoniae,Ampicillin,2,1,-0.008,98.817,Fixed
S. pneumoniae,Ampicillin,4,1,-0.008,95.266,Fixed
S. pneumoniae,Ampicillin,8,1,-0.016,94.083,Fixed
S. pneumoniae,Ampicillin,16,1,-0.008,92.899,Fixed
S. pneumoniae,Ampicillin,0.03,1,0.178,5.698,Fixed
S. pneumoniae,Ampicillin,0.06,1,0.161,12.907,Fixed
S. pneumoniae,Ampicillin,0.13,1,0.143,42.442,Fixed
S. pneumoniae,Ampicillin,0.25,1,0.032,55.814,Fixed
S. pneumoniae,Ampicillin,0.5,1,0,97.093,Fixed
S. pneumoniae,Ampicillin,1,1,-0.003,99.419,Fixed
S. pneumoniae,Ampicillin,2,1,-0.009,95.93,Fixed
S. pneumoniae,Ampicillin,4,1,-0.018,94.767,Fixed
S. pneumoniae,Ampicillin,8,1,-0.004,97.093,Fixed
S. pneumoniae,Ampicillin,16,1,-0.005,91.279,Fixed
S. pneumoniae,Ampicillin,0.03,2,0.253333333,7.876712329,Fixed
S. pneumoniae,Ampicillin,0.06,2,0.229,10.61643836,Fixed
S. pneumoniae,Ampicillin,0.13,2,0.156,24.65753425,Fixed
S. pneumoniae,Ampicillin,0.25,2,0.0315,76.71232877,Fixed
S. pneumoniae,Ampicillin,0.5,2,-0.025,93.15068493,Fixed
S. pneumoniae,Ampicillin,1,2,-0.0215,103.4246575,Fixed
S. pneumoniae,Ampicillin,2,2,-0.023,106.8493151,Fixed
S. pneumoniae,Ampicillin,4,2,-0.02,104.7945205,Fixed
S. pneumoniae,Ampicillin,8,2,-0.0225,103.4246575,Fixed
S. pneumoniae,Ampicillin,16,2,-0.028,102.739726,Fixed
S. pneumoniae,Ampicillin,0.03,2,0.231,23.68421053,Fixed
S. pneumoniae,Ampicillin,0.06,2,0.22,15.13157895,Fixed
S. pneumoniae,Ampicillin,0.13,2,0.154,33.55263158,Fixed
S. pneumoniae,Ampicillin,0.25,2,0.023,62.5,Fixed
