"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"b.alpha[1, 1]",2.505,0.455,1.733,2.46,3.524,1,2333
"b.alpha[2, 1]",54.308,15.342,30.125,52.227,89.012,1,1318
"b.alpha[1, 2]",2.975,0.95,1.755,2.839,4.92,1.01,2502
"b.alpha[2, 2]",30.647,12.573,11.969,28.597,61.057,1,2219
"b.alpha[1, 3]",2.873,1.037,1.568,2.742,4.81,1,3190
"b.alpha[2, 3]",14.34,9.331,4.919,11.439,39.353,1.02,2365
"b.alpha[1, 4]",1.924,1.202,0.633,1.647,4.87,1,1115
"b.alpha[2, 4]",20.403,10.409,8.965,17.396,48.359,1,4083
"c.alpha[1, 1]",100,0,100,100,100,NA,0
"c.alpha[2, 1]",100,0,100,100,100,NA,0
"c.alpha[1, 2]",100,0,100,100,100,NA,0
"c.alpha[2, 2]",100,0,100,100,100,NA,0
"c.alpha[1, 3]",100,0,100,100,100,NA,0
"c.alpha[2, 3]",100,0,100,100,100,NA,0
"c.alpha[1, 4]",100,0,100,100,100,NA,0
"c.alpha[2, 4]",100,0,100,100,100,NA,0
"cor[1, 1]",1,0,1,1,1,NA,0
"cor[2, 1]",-0.279,0.156,-0.567,-0.284,0.035,1.01,351
"cor[3, 1]",0.138,0.194,-0.241,0.14,0.494,1.01,238
"cor[4, 1]",0.259,0.373,-0.577,0.319,0.824,1,550
"cor[1, 2]",-0.279,0.156,-0.567,-0.284,0.035,1.01,351
"cor[2, 2]",1,0,1,1,1,1,0
"cor[3, 2]",-0.099,0.18,-0.453,-0.101,0.256,1.07,185
"cor[4, 2]",-0.04,0.38,-0.74,-0.049,0.695,1.01,663
"cor[1, 3]",0.138,0.194,-0.241,0.14,0.494,1.01,238
"cor[2, 3]",-0.099,0.18,-0.453,-0.101,0.256,1.07,185
"cor[3, 3]",1,0,1,1,1,1,0
"cor[4, 3]",0.222,0.393,-0.587,0.257,0.85,1,449
"cor[1, 4]",0.259,0.373,-0.577,0.319,0.824,1,550
"cor[2, 4]",-0.04,0.38,-0.74,-0.049,0.695,1.01,663
"cor[3, 4]",0.222,0.393,-0.587,0.257,0.85,1,449
"cor[4, 4]",1,0,1,1,1,1,0
"d.alpha[1, 1]",17.083,5.285,6.437,17.212,27.083,1,2419
"d.alpha[2, 1]",-14.557,4.61,-23.813,-14.472,-5.856,1,908
"d.alpha[1, 2]",17.64,8.328,1.089,17.784,33.861,1,2680
"d.alpha[2, 2]",17.218,7.633,2.033,17.271,31.989,1,1067
"d.alpha[1, 3]",13.643,8.654,-3.761,13.688,30.6,1,2263
"d.alpha[2, 3]",52.85,7.852,36.781,52.945,68.132,1.03,911
"d.alpha[1, 4]",10.406,17.387,-27.946,12.081,39.65,1,1161
"d.alpha[2, 4]",-27.24,10.114,-46.947,-27.288,-7.308,1,1152
"d.diff[1, 1]",-0.556,9.898,-20.241,-0.571,19.056,1,2552
"d.diff[2, 1]",-31.775,8.795,-49.203,-31.769,-14.259,1,969
"d.diff[1, 2]",3.44,10.144,-16.362,3.43,23.434,1,2510
"d.diff[2, 2]",-67.407,9.073,-85.219,-67.483,-49.38,1.01,878
"d.diff[1, 3]",6.677,18.178,-25.251,5.135,46.505,1,1258
"d.diff[2, 3]",12.683,11.325,-9.141,12.651,34.882,1,1035
"d.diff[1, 4]",3.997,12.045,-19.56,3.952,27.52,1,2448
"d.diff[2, 4]",-35.632,10.941,-57.12,-35.654,-13.927,1.01,1021
"d.diff[1, 5]",7.233,19.145,-26.831,5.961,48.004,1,1321
"d.diff[2, 5]",44.458,12.436,19.397,44.45,68.91,1,1188
"d.diff[1, 6]",3.236,19.582,-31.282,1.882,45.355,1,1229
"d.diff[2, 6]",80.09,12.949,54.355,80.052,105.935,1.01,1005
"e.alpha[1, 1]",0.254,0.032,0.191,0.254,0.316,1.01,1178
"e.alpha[2, 1]",2.02,0.029,1.967,2.019,2.084,1.03,238
"e.alpha[1, 2]",0.241,0.051,0.138,0.241,0.343,1,1214
"e.alpha[2, 2]",1.964,0.057,1.846,1.965,2.075,1.01,1422
"e.alpha[1, 3]",0.233,0.051,0.133,0.232,0.336,1,1072
"e.alpha[2, 3]",2.181,0.134,1.984,2.158,2.495,1,1698
"e.alpha[1, 4]",0.198,0.076,0.052,0.196,0.347,1,747
"e.alpha[2, 4]",1.528,0.172,1.177,1.543,1.828,1,2479
"e.diff[1, 1]",0.013,0.06,-0.105,0.013,0.13,1,1191
"e.diff[2, 1]",0.057,0.064,-0.066,0.054,0.189,1.02,819
"e.diff[1, 2]",0.021,0.059,-0.099,0.022,0.136,1,1174
"e.diff[2, 2]",-0.161,0.136,-0.474,-0.139,0.046,1,1633
"e.diff[1, 3]",0.056,0.081,-0.108,0.058,0.208,1,844
"e.diff[2, 3]",0.492,0.176,0.185,0.478,0.851,1,1806
"e.diff[1, 4]",0.008,0.072,-0.136,0.008,0.15,1,1106
"e.diff[2, 4]",-0.217,0.145,-0.541,-0.199,0.017,1,1915
"e.diff[1, 5]",0.043,0.091,-0.139,0.043,0.223,1.01,944
